Fr,Idx,X,Y,Z,Intensity,R,Altitude,Azimuth,Label,GT,Target Reflectivity
1,2664,7.48509407,6.5642519,-0.82708019,1.279999971,9.989999771,-4.748999801,41.2500025,Target 1-1,10,3.00%
1,2667,7.461219788,6.543314934,-0.719540417,1.279999971,9.950000763,-4.146999468,41.25000345,Target 1-1,10,3.00%
1,2670,7.44397974,6.528195858,-0.613377929,1.319999933,9.920000076,-3.544999778,41.25000363,Target 1-1,10,3.00%
1,2672,7.418383121,6.505748272,-0.507177413,1.360000014,9.880000114,-2.942500332,41.25000385,Target 1-1,10,3.00%
1,2677,7.441770554,6.513668537,0.06524726,1.24000001,9.88999939,0.378000005,41.19516533,Target 1-1,10,3.00%
1,2684,7.499263287,6.56399107,0.275595635,1.159999967,9.969999313,1.583999983,41.19516541,Target 1-1,10,3.00%
1,2687,7.496668339,6.561719894,0.380379021,1.199999928,9.969999313,2.186499908,41.19516602,Target 1-1,10,3.00%
1,2690,7.487858772,6.547683239,0.511284113,1.24000001,9.960000038,2.942500354,41.16774779,Target 1-1,10,3.00%
1,2692,7.603612423,6.64890337,0.625744402,2.799999952,10.11999989,3.544999928,41.16774996,Target 1-1,10,3.00%
1,2694,7.643292427,6.683600903,0.736172974,2.799999952,10.17999935,4.146999651,41.16774889,Target 1-1,10,3.00%
1,2696,7.607039928,6.651900291,0.839498818,2.799999952,10.13999939,4.748999968,41.16774899,Target 1-1,10,3.00%
1,2698,7.483580589,6.505377293,-0.823768616,1.279999971,9.950000763,-4.748999922,40.99999972,Target 1-1,10,3.00%
1,2699,7.497226715,6.517239571,-0.720263541,1.319999933,9.960000038,-4.146999489,40.9999992,Target 1-1,10,3.00%
1,2700,7.502524853,6.521845341,-0.615851223,1.319999933,9.960000992,-3.544999567,40.99999994,Target 1-1,10,3.00%
1,2702,7.484385014,6.506076336,-0.509744048,1.279999971,9.929999352,-2.942500184,40.9999987,Target 1-1,10,3.00%
1,2711,7.482530117,6.491902351,0.273937106,1.360000014,9.909999847,1.583999998,40.9451662,Target 1-1,10,3.00%
1,2714,7.510132313,6.515850067,0.379615992,1.279999971,9.949999809,2.186499954,40.94516547,Target 1-1,10,3.00%
1,2717,7.516356945,6.514949322,0.511284113,1.24000001,9.960000038,2.94250033,40.91774934,Target 1-1,10,3.00%
1,2719,7.511879921,6.511068344,0.615851223,1.360000014,9.960001945,3.544999476,40.91774746,Target 1-1,10,3.00%
1,2721,7.536721706,6.53260088,0.723156214,1.319999933,10,4.146999692,40.91774935,Target 1-1,10,3.00%
1,2723,7.530564785,6.527263641,0.827908158,1.319999933,10,4.748999892,40.91774671,Target 1-1,10,3.00%
1,2725,7.519443512,6.479167461,-0.824596524,1.319999933,9.960000038,-4.749000059,40.75000179,Target 1-1,10,3.00%
1,2727,7.518036366,6.477954865,-0.719540417,1.279999971,9.950000763,-4.14699949,40.75000126,Target 1-1,10,3.00%
1,2728,7.500665188,6.462986946,-0.613377929,1.319999933,9.92000103,-3.544999724,40.75000147,Target 1-1,10,3.00%
1,2730,7.512701511,6.473358154,-0.509744048,1.279999971,9.929999352,-2.942500162,40.75000168,Target 1-1,10,3.00%
1,2741,7.515762806,6.463472366,0.378471434,1.319999933,9.920000076,2.186499934,40.69516447,Target 1-1,10,3.00%
1,2744,7.559862137,6.495107174,0.512310743,1.279999971,9.979999542,2.942500113,40.6677486,Target 1-1,10,3.00%
1,2746,7.540217876,6.478229523,0.615851223,1.360000014,9.960000992,3.544999611,40.66774794,Target 1-1,10,3.00%
1,2748,7.550023079,6.486653328,0.721709847,1.399999976,9.979999542,4.146999758,40.66774619,Target 1-1,10,3.00%
1,2750,7.558973312,6.494343281,0.827908158,1.319999933,10,4.748999997,40.66774749,Target 1-1,10,3.00%
1,2752,7.524908543,6.426878929,-0.822112739,1.360000014,9.929999352,-4.748999961,40.49999948,Target 1-1,10,3.00%
1,2754,7.523477554,6.425656796,-0.717370927,1.319999933,9.920000076,-4.146999526,40.49999969,Target 1-1,10,3.00%
1,2755,7.528793812,6.430197239,-0.613377929,1.319999933,9.920000076,-3.544999828,40.49999938,Target 1-1,10,3.00%
1,2756,7.525687218,6.427544117,-0.508717418,1.319999933,9.909999847,-2.94250048,40.50000008,Target 1-1,10,3.00%
1,2769,7.57292366,6.449108601,0.511284113,1.24000001,9.960000038,2.942500507,40.41774549,Target 1-1,10,3.00%
1,2771,7.545615673,6.425853252,0.613996208,1.399999976,9.929999352,3.544999709,40.41774618,Target 1-1,10,3.00%
1,2773,7.570661545,6.447182178,0.720986664,1.360000014,9.969999313,4.146999373,40.41774547,Target 1-1,10,3.00%
1,2775,7.587238312,6.461298943,0.827908158,1.319999933,10,4.749000067,40.41774536,Target 1-1,10,3.00%
1,2777,7.545273781,6.387546062,-0.82128489,1.319999933,9.920000076,-4.748999837,40.25000136,Target 1-1,10,3.00%
1,2778,7.5514431,6.39276886,-0.717370927,1.319999933,9.920000076,-4.146999382,40.25000173,Target 1-1,10,3.00%
1,2779,7.556779385,6.397285938,-0.613377929,1.319999933,9.92000103,-3.544999661,40.24999987,Target 1-1,10,3.00%
1,2781,7.55366087,6.394646168,-0.508717418,1.319999933,9.909999847,-2.94250047,40.25000096,Target 1-1,10,3.00%
1,2796,7.585728168,6.403120995,0.510257423,1.279999971,9.93999958,2.942500316,40.16774631,Target 1-1,10,3.00%
1,2798,7.573581696,6.392868519,0.613996208,1.399999976,9.929999352,3.544999679,40.16774796,Target 1-1,10,3.00%
1,2800,7.598720551,6.414087772,0.720986664,1.360000014,9.969999313,4.146999338,40.16774584,Target 1-1,10,3.00%
1,2802,7.592512131,6.408847332,0.825424373,1.360000014,9.969999313,4.748999986,40.16774626,Target 1-1,10,3.00%
