Fr,Idx,X,Y,`,Intensity,R,Altitude,Azimuth,Label,GT,Target Reflectivity
1,21729,7.416106224,6.774214268,-0.937619805,1,10.08799934,-5.364044441,74.23007334,Target 1 -1,10,3.00%
1,21736,7.400369167,6.759839058,-0.583715856,1,10.04000092,-3.340542311,74.23006362,Target 1 -1,10,3.00%
1,21744,7.408392429,6.767168045,-0.350390971,0,10.04000092,-2.001626096,74.23007334,Target 1 -1,10,3.00%
1,21754,7.424146175,6.734167576,-0.116690218,2,10.02400017,-0.667060256,73.25846466,Target 1 -1,10,3.00%
1,21760,7.424960136,6.73490572,-0.935760975,1,10.06800079,-5.364044441,73.25846466,Target 1 -1,10,3.00%
1,21768,7.42983675,6.739328861,-0.584180892,1,10.04799938,-3.340542311,73.25845495,Target 1 -1,10,3.00%
1,21776,7.431970596,6.74126482,-0.350390971,1,10.04000092,-2.001626096,73.25846466,Target 1 -1,10,3.00%
1,21786,7.450577736,6.710889816,-0.116736792,1,10.02799988,-0.667060408,72.30871259,Target 1 -1,10,3.00%
1,21792,7.451381207,6.711613655,-0.936132729,1,10.07199955,-5.364044441,72.3087223,Target 1 -1,10,3.00%
1,21794,7.441661835,6.702859402,0.116597101,1,10.01599979,0.667060408,72.3087223,Target 1 -1,10,3.00%
1,21800,7.447380543,6.708010197,-0.583715856,1,10.03999996,-3.340542918,72.3087223,Target 1 -1,10,3.00%
1,21808,7.455454826,6.715282917,-0.350390971,1,10.03999996,-2.001626703,72.3087223,Target 1 -1,10,3.00%
1,21817,7.467998028,6.679507256,-0.11664366,1,10.02000046,-0.667060256,71.37972915,Target 1 -1,10,3.00%
1,21822,7.471797943,6.682906151,-0.935760975,1,10.06800079,-5.364044441,71.37972915,Target 1 -1,10,3.00%
1,21824,7.467998028,6.679507256,0.11664366,1,10.02000046,0.667060256,71.37972915,Target 1 -1,10,3.00%
1,21829,7.464799881,6.676646709,-0.583250701,1,10.03199959,-3.340542311,71.37970972,Target 1 -1,10,3.00%
1,21837,7.472893715,6.683886051,-0.350111753,1,10.0320015,-2.001626096,71.37972915,Target 1 -1,10,3.00%
1,21846,7.497250557,6.658708096,-0.116736792,2,10.02799988,-0.667060256,70.4708635,Target 1 -1,10,3.00%
1,21851,7.504015446,6.664716244,-0.936876297,1,10.08000183,-5.364043227,70.4708635,Target 1 -1,10,3.00%
1,21853,7.48528862,6.648083687,0.116550528,1,10.01200008,0.667060256,70.4708635,Target 1 -1,10,3.00%
1,21858,7.488061428,6.650546551,-0.583250701,1,10.03199959,-3.340542311,70.4708635,Target 1 -1,10,3.00%
1,21866,7.50514698,6.66572094,-0.350530565,1,10.04399967,-2.001626703,70.4708635,Target 1 -1,10,3.00%
1,21875,7.517444134,6.62985611,-0.116690218,2,10.02400017,-0.667060256,69.58162023,Target 1 -1,10,3.00%
1,21881,7.515280724,6.627947807,-0.935389161,1,10.06399918,-5.364044441,69.58161051,Target 1 -1,10,3.00%
1,21883,7.511444569,6.624565125,0.116597101,1,10.01599979,0.667060256,69.58162023,Target 1 -1,10,3.00%
1,21889,7.517216682,6.629655361,-0.583715856,1,10.03999996,-3.340542918,69.58161051,Target 1 -1,10,3.00%
1,21897,7.52536726,6.636843681,-0.350390971,1,10.04000092,-2.001626096,69.58161051,Target 1 -1,10,3.00%
1,21907,7.543551445,6.606208324,-0.116736792,2,10.02799988,-0.667060408,68.71083364,Target 1 -1,10,3.00%
1,21913,7.544364929,6.606920719,-0.936132729,1,10.0720005,-5.364044441,68.71083364,Target 1 -1,10,3.00%
1,21915,7.543551445,6.606208324,0.116736792,1,10.02799988,0.667060408,68.71083364,Target 1 -1,10,3.00%
1,21921,7.531301498,6.595480442,-0.583018184,1,10.02799988,-3.340542918,68.71083364,Target 1 -1,10,3.00%
1,21929,7.545482159,6.607899189,-0.350251347,1,10.03600025,-2.001626096,68.71084336,Target 1 -1,10,3.00%
1,21939,7.568436146,6.583779812,-0.116783351,2,10.03199959,-0.667060256,67.90027415,Target 1 -1,10,3.00%
1,21945,7.560224056,6.576636314,-0.935389161,1,10.06399918,-5.364044441,67.90027415,Target 1 -1,10,3.00%
1,21947,7.559382915,6.575904846,0.11664366,1,10.0199995,0.667060256,67.90029358,Target 1 -1,10,3.00%
1,21953,7.556145668,6.573088646,-0.583250701,1,10.03199959,-3.340542918,67.90029358,Target 1 -1,10,3.00%
1,21961,7.567354679,6.582839012,-0.350251347,1,10.03600025,-2.001626096,67.90027415,Target 1 -1,10,3.00%
